Proceso, Archivo, Intención / Palabras clave, Entradas mínimas
Ver la cartera completa de la empresa, `.\bi\procesos\negocio\corporativo\ver_cartera.md`, "cartera completa" / "todas las propiedades", por definir
Métricas / KPIs del equipo,	`.\bi\procesos\negocio\corporativo\metricas_kpis.md`, "métricas" / "KPIs" / "desempeño del equipo",	por definir
Pipeline global y distribución de leads, `.\bi\procesos\negocio\corporativo\pipeline_distribucion.md`, "pipeline" / "reparte los leads" / "embudo",	(por definir)
