Proceso, Archivo, Intención / Palabras clave, Entradas mínimas
Generar informe, `.\bi\procesos\genericos\generar_informe.md`, "informe" / "reporte de…" / "resúmeme", por definir
Búsqueda web, `.\bi\procesos\genericos\busqueda_web.md`, "busca en internet" / "investiga" / "qué dice…", por definir
Generar documento, `.\bi\procesos\genericos\generar_documento.md`, "redacta" / "haz un documento" / "carta/ficha", por definir
Generar imagen, `.\bi\procesos\genericos\generar_imagen.md`, "genera una imagen" / "crea un gráfico", por definir
